Pruning,Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0.1,32,125.809,16m40s,98.6,97.49
0.1,48,111.975,16m41s,98.64,97.49
0.1,64,103.658,16m39s,98.67,97.55
0.1,96,93.483,12m31s,98.67,97.52
0.1,128,87.095,16m44s,98.68,97.55
0.1,192,78.94,16m44s,98.72,97.61
0.1,256,73.592,21m0s,98.75,97.61
