Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0,0,28m10s,98.99,97.8
32,0.078,8m46s,21.44,21.83
48,0.087,5m50s,26.02,25.97
64,0.094,6m13s,46.58,46.44
96,0.103,9m21s,98.88,97.51
128,0.11,12m33s,98.9,97.6
192,0.119,6m17s,98.94,97.64
256,0.126,6m17s,98.93,97.48
384,0.136,12m42s,99.03,97.67
512,0.143,12m48s,99.09,97.65
768,0.153,13m1s,99.13,97.72
1024,0.161,9m56s,99.11,97.71
1536,0.172,13m40s,99.14,97.87
2048,0.18,16m30s,99.17,97.87
