Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0,0,9m34s,98.88,97.69
32,0.078,3m3s,10.44,10.28
48,0.088,3m13s,98.26,97.08
64,0.094,4m51s,98.65,97.32
96,0.104,6m8s,98.78,97.45
128,0.11,4m37s,98.74,97.5
192,0.12,4m22s,98.94,97.6
256,0.127,5m54s,98.94,97.63
384,0.137,4m47s,98.95,97.69
512,0.145,6m4s,98.99,97.6
768,0.156,9m26s,99.03,97.7
1024,0.165,6m53s,99.01,97.73
