Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0,0,6m26s,98.29,97.03
32,0.079,1m15s,10.44,10.28
48,0.088,1m55s,97.89,96.41
64,0.095,2m36s,97.9,96.4
96,0.105,2m52s,98.07,96.66
128,0.113,3m58s,98.17,96.78
192,0.123,2m0s,98.09,96.7
256,0.131,2m42s,98.22,96.79
384,0.144,4m13s,98.3,96.86
