Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0,0,26m30s,99.13,97.97
32,0.078,4m46s,6.14,6.01
48,0.088,4m46s,12.04,12.3
64,0.094,16m42s,87.95,87.42
96,0.103,7m10s,98.72,97.66
128,0.11,10m11s,98.78,97.51
192,0.119,5m7s,98.75,97.69
256,0.126,5m34s,98.82,97.73
384,0.136,5m40s,98.82,97.61
512,0.143,9m1s,98.84,97.65
768,0.154,21m1s,99.06,97.93
1024,0.161,16m58s,99.06,97.86
1536,0.173,15m52s,99.1,97.87
2048,0.182,27m17s,99.17,97.95
