Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0,0,15m14s,99.02,97.78
32,0.078,3m53s,9.04,8.92
48,0.088,3m51s,98.58,97.39
64,0.094,11m36s,53.42,53.7
96,0.103,3m53s,98.74,97.36
128,0.11,9m46s,98.91,97.47
192,0.12,7m50s,98.89,97.5
256,0.127,9m47s,99.0,97.53
384,0.137,10m42s,99.02,97.6
512,0.144,8m40s,99.01,97.57
768,0.155,11m1s,99.05,97.63
1024,0.163,11m22s,99.05,97.65
1536,0.175,11m55s,99.09,97.76
