Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0,0,8m38s,98.77,97.39
32,0.079,2m7s,11.23,11.33
48,0.088,5m15s,98.7,97.14
64,0.095,3m13s,98.24,96.6
96,0.104,3m10s,98.63,97.04
128,0.111,5m13s,98.76,97.25
192,0.121,3m11s,98.71,97.12
256,0.128,4m14s,98.75,97.14
384,0.139,4m21s,98.84,97.32
512,0.147,3m20s,98.86,97.36
768,0.159,5m53s,98.92,97.38
