Pruning,Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0.9,32,0.008,17m37s,98.54,97.49
0.9,48,0.009,10m35s,98.52,97.38
0.9,64,0.01,21m10s,98.61,97.5
0.9,96,0.011,10m36s,98.6,97.46
0.9,128,0.012,14m10s,98.62,97.49
0.9,192,0.013,10m15s,98.64,97.51
0.8,32,0.016,8m24s,98.9,97.64
0.8,48,0.018,12m34s,99.02,97.84
0.8,64,0.019,12m36s,99.08,97.82
0.8,96,0.021,12m37s,99.12,97.78
0.8,128,0.023,8m26s,99.09,97.92
0.8,192,0.025,8m26s,99.11,97.87
0.8,256,0.026,8m27s,99.11,97.88
0.8,384,0.029,12m45s,99.13,97.86
0.7,32,0.024,9m51s,99.03,97.82
0.7,48,0.026,19m43s,99.1,97.89
0.7,64,0.028,14m47s,99.12,97.94
0.7,96,0.031,14m50s,99.13,97.84
0.7,128,0.033,14m51s,99.16,97.92
0.7,192,0.037,9m55s,99.17,97.86
0.7,256,0.039,9m56s,99.16,97.91
0.7,384,0.042,9m59s,99.2,98.03
0.7,512,0.045,15m4s,99.22,98.0
0.6,32,0.031,12m3s,98.81,97.35
0.6,48,0.035,11m32s,99.13,97.72
0.6,64,0.038,17m14s,99.25,97.86
0.6,96,0.042,17m28s,99.26,97.94
0.6,128,0.044,11m32s,99.28,97.96
0.6,192,0.048,11m44s,99.31,98.05
0.6,256,0.051,17m27s,99.32,98.03
0.6,384,0.056,12m3s,99.33,98.06
0.6,512,0.059,17m56s,99.34,98.09
0.6,768,0.064,12m22s,99.32,98.08
0.5,32,0.039,26m35s,99.11,97.67
0.5,48,0.044,19m20s,99.16,97.82
0.5,64,0.047,19m19s,99.2,97.71
0.5,96,0.052,19m2s,99.08,97.74
0.5,128,0.055,19m22s,99.28,98.03
0.5,192,0.06,12m54s,99.28,98.02
0.5,256,0.064,19m6s,99.31,98.07
0.5,384,0.069,19m11s,99.32,98.11
0.5,512,0.073,13m17s,99.32,98.09
0.5,768,0.079,26m13s,99.36,98.13
0.5,1024,0.083,19m29s,99.35,98.13
0.4,32,0.047,43m27s,48.31,47.44
0.4,48,0.053,78m21s,55.88,56.19
0.4,64,0.057,21m53s,99.1,97.76
0.4,96,0.062,14m23s,98.83,97.42
0.4,128,0.066,14m24s,99.1,97.76
0.4,192,0.072,22m1s,99.24,97.87
0.4,256,0.076,14m36s,99.23,97.82
0.4,384,0.082,14m17s,99.27,97.97
0.4,512,0.087,14m21s,99.3,97.95
0.4,768,0.094,14m18s,99.31,98.05
0.4,1024,0.099,21m38s,99.32,98.0
0.3,32,0.055,46m51s,41.05,41.36
0.3,48,0.061,35m19s,99.19,97.81
0.3,64,0.066,62m44s,99.3,97.96
0.3,96,0.073,23m24s,99.23,97.85
0.3,128,0.077,31m14s,99.31,97.83
0.3,192,0.084,30m54s,99.33,97.9
0.3,256,0.089,23m11s,99.34,97.94
0.3,384,0.096,23m15s,99.37,98.04
0.3,512,0.101,23m21s,99.38,97.97
0.3,768,0.109,23m29s,99.37,97.97
0.3,1024,0.115,15m56s,99.35,98.1
0.3,1536,0.124,24m0s,99.39,98.07
0.2,32,0.063,34m27s,98.64,97.12
0.2,48,0.07,34m51s,50.58,50.55
0.2,64,0.075,25m22s,99.06,97.57
0.2,96,0.083,42m42s,99.22,97.79
0.2,128,0.088,25m58s,99.15,97.63
0.2,192,0.096,17m28s,99.03,97.62
0.2,256,0.101,17m27s,99.2,97.67
0.2,384,0.109,25m33s,99.3,98.0
0.2,512,0.115,17m19s,99.29,97.95
0.2,768,0.124,34m29s,99.37,98.07
0.2,1024,0.13,17m30s,99.33,98.0
0.2,1536,0.14,35m19s,99.38,97.97
0.1,32,0.07,27m0s,32.27,32.35
0.1,48,0.079,45m57s,99.14,97.67
0.1,64,0.085,39m29s,99.13,97.56
0.1,96,0.093,29m14s,99.22,97.68
0.1,128,0.099,19m20s,99.14,97.66
0.1,192,0.108,29m17s,99.22,97.61
0.1,256,0.114,34m6s,99.35,97.84
0.1,384,0.123,32m52s,99.38,97.97
0.1,512,0.129,30m9s,99.38,98.08
0.1,768,0.139,27m35s,99.39,98.02
0.1,1024,0.146,27m4s,99.39,97.98
0.1,1536,0.157,27m46s,99.39,97.96
0.1,2048,0.165,38m30s,99.42,98.04
