Pruning,Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0.9,32,0.008,16m47s,97.59,96.93
0.9,48,0.009,14m24s,97.64,96.99
0.9,64,0.01,9m38s,97.76,97.01
0.9,96,0.011,12m13s,97.79,97.07
0.9,128,0.012,9m38s,97.77,97.07
0.8,32,0.016,11m11s,98.58,97.52
0.8,48,0.018,8m22s,98.68,97.59
0.8,64,0.019,8m24s,98.7,97.65
0.8,96,0.021,5m35s,98.72,97.74
0.8,128,0.023,5m36s,98.71,97.76
0.8,192,0.025,5m35s,98.74,97.73
0.8,256,0.027,11m14s,98.78,97.74
0.7,32,0.024,6m24s,98.89,97.4
0.7,48,0.027,16m1s,99.07,97.67
0.7,64,0.029,9m39s,99.08,97.64
0.7,96,0.032,6m29s,99.1,97.7
0.7,128,0.034,9m41s,99.15,97.81
0.7,192,0.037,6m28s,99.14,97.72
0.7,256,0.04,6m31s,99.14,97.8
0.7,384,0.043,10m10s,99.16,97.8
0.6,32,0.032,7m21s,98.92,97.37
0.6,48,0.035,14m39s,99.14,97.55
0.6,64,0.038,10m51s,99.13,97.56
0.6,96,0.042,10m53s,99.19,97.59
0.6,128,0.045,7m13s,99.2,97.67
0.6,192,0.049,10m53s,99.24,97.65
0.6,256,0.052,11m16s,99.22,97.73
0.6,384,0.057,7m33s,99.25,97.73
0.6,512,0.061,11m13s,99.25,97.75
0.5,32,0.039,11m51s,98.9,97.38
0.5,48,0.044,7m53s,99.06,97.56
0.5,64,0.047,11m52s,99.14,97.5
0.5,96,0.052,7m55s,99.22,97.65
0.5,128,0.056,11m52s,99.22,97.59
0.5,192,0.061,11m53s,99.25,97.68
0.5,256,0.065,7m55s,99.25,97.72
0.5,384,0.07,11m56s,99.27,97.72
0.5,512,0.075,12m3s,99.28,97.71
0.4,32,0.047,16m55s,98.88,97.38
0.4,48,0.053,8m26s,99.02,97.43
0.4,64,0.057,8m27s,98.84,97.2
0.4,96,0.063,8m27s,99.05,97.69
0.4,128,0.067,12m44s,99.19,97.67
0.4,192,0.073,8m29s,99.22,97.71
0.4,256,0.077,12m45s,99.25,97.68
0.4,384,0.084,12m49s,99.26,97.73
0.4,512,0.089,12m54s,99.28,97.77
0.4,768,0.096,17m44s,99.28,97.8
0.3,32,0.055,9m57s,98.6,96.87
0.3,48,0.061,19m55s,98.97,97.48
0.3,64,0.066,14m21s,99.13,97.49
0.3,96,0.073,14m19s,99.17,97.57
0.3,128,0.078,9m33s,99.22,97.61
0.3,192,0.085,14m24s,99.24,97.62
0.3,256,0.09,19m30s,99.28,97.73
0.3,384,0.097,19m57s,99.29,97.71
0.3,512,0.103,14m51s,99.29,97.85
0.3,768,0.111,14m56s,99.3,97.78
0.3,1024,0.118,14m52s,99.28,97.87
0.2,32,0.063,10m37s,98.77,97.11
0.2,48,0.07,20m16s,99.06,97.43
0.2,64,0.076,9m56s,98.8,97.17
0.2,96,0.083,14m53s,99.07,97.24
0.2,128,0.089,9m55s,99.15,97.41
0.2,192,0.096,9m57s,99.21,97.76
0.2,256,0.102,14m58s,99.23,97.67
0.2,384,0.111,10m20s,99.24,97.67
0.2,512,0.117,15m6s,99.28,97.7
0.2,768,0.126,20m45s,99.3,97.73
0.2,1024,0.134,15m24s,99.29,97.81
0.1,32,0.071,22m40s,40.26,41.58
0.1,48,0.079,15m59s,30.12,29.78
0.1,64,0.085,10m35s,98.91,97.3
0.1,96,0.093,10m37s,99.15,97.42
0.1,128,0.1,15m56s,99.17,97.57
0.1,192,0.108,15m55s,99.23,97.61
0.1,256,0.115,15m55s,99.24,97.74
0.1,384,0.124,16m0s,99.27,97.85
0.1,512,0.131,16m8s,99.27,97.76
0.1,768,0.141,16m16s,99.28,97.75
0.1,1024,0.149,17m10s,99.28,97.81
