Pruning,Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0.9,32,0.008,11m19s,98.2,97.28
0.9,48,0.009,11m21s,98.24,97.29
0.9,64,0.01,8m31s,98.21,97.27
0.9,96,0.011,5m41s,98.22,97.34
0.9,128,0.012,14m15s,98.27,97.4
0.9,192,0.013,11m27s,98.3,97.46
0.8,32,0.016,10m21s,98.8,97.45
0.8,48,0.018,17m15s,98.92,97.7
0.8,64,0.019,6m54s,98.87,97.62
0.8,96,0.021,6m54s,98.92,97.73
0.8,128,0.023,13m51s,98.97,97.73
0.8,192,0.025,10m25s,98.96,97.8
0.8,256,0.027,10m26s,98.96,97.71
0.8,384,0.029,10m33s,98.97,97.75
0.7,32,0.024,8m6s,98.97,97.47
0.7,48,0.026,16m13s,99.14,97.54
0.7,64,0.029,16m13s,99.15,97.6
0.7,96,0.031,8m7s,99.14,97.61
0.7,128,0.034,8m7s,99.16,97.7
0.7,192,0.037,8m7s,99.16,97.71
0.7,256,0.039,12m15s,99.2,97.78
0.7,384,0.043,12m19s,99.24,97.81
0.7,512,0.045,16m31s,99.25,97.9
0.6,32,0.031,9m10s,99.01,97.46
0.6,48,0.035,9m9s,99.16,97.47
0.6,64,0.038,18m21s,99.17,97.56
0.6,96,0.042,9m10s,99.18,97.53
0.6,128,0.045,9m12s,99.19,97.72
0.6,192,0.049,9m11s,99.26,97.9
0.6,256,0.052,9m13s,99.21,97.78
0.6,384,0.056,18m32s,99.28,97.9
0.6,512,0.059,14m1s,99.28,97.88
0.6,768,0.065,14m8s,99.3,97.84
0.5,32,0.039,20m13s,98.99,97.45
0.5,48,0.044,20m12s,99.13,97.61
0.5,64,0.047,15m9s,99.19,97.64
0.5,96,0.052,20m15s,99.24,97.76
0.5,128,0.055,10m7s,99.21,97.85
0.5,192,0.06,15m12s,99.26,97.81
0.5,256,0.064,15m13s,99.22,97.8
0.5,384,0.069,15m18s,99.28,97.78
0.5,512,0.074,10m15s,99.24,97.84
0.5,768,0.08,10m21s,99.26,97.84
0.4,32,0.047,17m35s,98.84,97.35
0.4,48,0.053,11m23s,98.93,97.46
0.4,64,0.057,22m5s,99.18,97.59
0.4,96,0.062,18m4s,99.2,97.55
0.4,128,0.066,18m37s,99.24,97.68
0.4,192,0.072,18m33s,99.17,97.69
0.4,256,0.077,12m29s,99.25,97.79
0.4,384,0.083,17m34s,99.26,97.78
0.4,512,0.088,23m32s,99.3,97.75
0.4,768,0.095,11m37s,99.27,97.85
0.4,1024,0.1,17m28s,99.3,97.8
0.3,32,0.055,19m3s,98.86,97.32
0.3,48,0.061,12m24s,11.24,11.35
0.3,64,0.066,18m36s,99.09,97.55
0.3,96,0.073,18m53s,99.18,97.78
0.3,128,0.077,12m28s,99.19,97.68
0.3,192,0.084,24m53s,99.25,97.86
0.3,256,0.089,12m24s,99.23,97.71
0.3,384,0.096,18m32s,99.24,97.8
0.3,512,0.102,18m49s,99.28,97.83
0.3,768,0.11,18m45s,99.28,97.78
0.3,1024,0.116,25m25s,99.31,97.78
0.2,32,0.063,78m50s,99.13,97.66
0.2,48,0.07,21m23s,99.22,97.68
0.2,64,0.075,21m7s,99.2,97.65
0.2,96,0.083,13m50s,99.22,97.63
0.2,128,0.088,27m45s,99.28,97.88
0.2,192,0.096,13m52s,99.21,97.71
0.2,256,0.102,20m51s,99.33,97.84
0.2,384,0.11,27m57s,99.36,97.88
0.2,512,0.116,28m16s,99.36,97.76
0.2,768,0.125,27m34s,99.35,97.79
0.2,1024,0.131,27m9s,99.37,97.89
0.2,1536,0.142,20m36s,99.35,97.91
0.1,32,0.071,15m7s,11.24,11.35
0.1,48,0.079,57m22s,44.24,43.7
0.1,64,0.085,21m29s,99.1,97.66
0.1,96,0.093,21m30s,99.17,97.54
0.1,128,0.099,29m15s,99.21,97.79
0.1,192,0.108,21m59s,99.25,97.75
0.1,256,0.114,29m7s,99.27,97.66
0.1,384,0.123,14m40s,99.25,97.71
0.1,512,0.13,29m16s,99.31,97.76
0.1,768,0.14,22m7s,99.27,97.84
0.1,1024,0.147,21m58s,99.28,97.83
0.1,1536,0.159,22m41s,99.28,97.8
