Pruning,Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0.9,32,0.008,7m15s,96.91,96.23
0.9,48,0.009,7m22s,96.88,96.43
0.9,64,0.01,8m59s,96.96,96.47
0.9,96,0.011,7m10s,96.99,96.4
0.8,32,0.016,12m29s,98.47,97.09
0.8,48,0.018,8m20s,98.53,97.28
0.8,64,0.02,4m11s,98.49,97.21
0.8,96,0.022,6m17s,98.55,97.25
0.8,128,0.023,6m18s,98.56,97.27
0.8,192,0.026,8m27s,98.59,97.24
0.7,32,0.024,4m43s,98.67,97.07
0.7,48,0.027,7m5s,98.81,97.28
0.7,64,0.029,9m27s,98.81,97.17
0.7,96,0.032,4m44s,98.82,97.28
0.7,128,0.034,9m30s,98.89,97.32
0.7,192,0.038,4m46s,98.86,97.26
0.7,256,0.041,7m11s,98.91,97.26
0.6,32,0.032,5m12s,98.59,96.76
0.6,48,0.036,5m13s,98.79,96.87
0.6,64,0.038,5m13s,98.94,97.12
0.6,96,0.042,5m13s,98.95,97.14
0.6,128,0.045,7m51s,98.96,97.16
0.6,192,0.05,10m32s,99.04,97.29
0.6,256,0.053,10m35s,99.06,97.27
0.6,384,0.058,7m59s,99.08,97.39
0.5,32,0.039,8m27s,98.75,97.11
0.5,48,0.044,5m38s,98.87,97.11
0.5,64,0.048,5m38s,98.97,97.25
0.5,96,0.053,5m40s,99.02,97.26
0.5,128,0.056,8m31s,99.12,97.37
0.5,192,0.062,8m31s,99.15,97.49
0.5,256,0.066,8m32s,99.13,97.52
0.5,384,0.072,5m45s,99.14,97.48
0.4,32,0.047,12m11s,98.78,97.05
0.4,48,0.053,12m1s,98.9,97.19
0.4,64,0.057,9m1s,99.04,97.2
0.4,96,0.063,6m0s,99.07,97.32
0.4,128,0.067,9m3s,99.14,97.51
0.4,192,0.074,6m2s,99.13,97.39
0.4,256,0.078,9m7s,99.17,97.44
0.4,384,0.085,9m12s,99.16,97.54
0.4,512,0.091,12m22s,99.18,97.45
0.3,32,0.055,6m28s,98.56,96.75
0.3,48,0.062,6m29s,98.9,97.11
0.3,64,0.066,16m16s,99.03,97.18
0.3,96,0.073,16m16s,99.15,97.36
0.3,128,0.078,13m5s,99.16,97.42
0.3,192,0.085,13m5s,99.19,97.48
0.3,256,0.091,9m51s,99.2,97.44
0.3,384,0.099,9m54s,99.2,97.42
0.3,512,0.105,10m6s,99.2,97.43
0.2,32,0.063,10m41s,98.68,96.83
0.2,48,0.07,10m23s,98.86,97.27
0.2,64,0.076,13m51s,98.94,97.09
0.2,96,0.084,6m55s,99.03,97.24
0.2,128,0.089,10m22s,99.12,97.43
0.2,192,0.097,10m25s,99.17,97.41
0.2,256,0.103,10m27s,99.13,97.38
0.2,384,0.112,10m39s,99.19,97.51
0.2,512,0.119,10m45s,99.18,97.47
0.2,768,0.129,11m15s,99.22,97.45
0.1,32,0.071,43m2s,29.97,29.81
0.1,48,0.079,7m20s,98.81,97.04
0.1,64,0.085,7m19s,98.9,97.13
0.1,96,0.094,14m30s,99.11,97.39
0.1,128,0.1,14m27s,99.16,97.42
0.1,192,0.109,14m27s,99.16,97.48
0.1,256,0.116,7m14s,99.15,97.43
0.1,384,0.126,10m56s,99.2,97.29
0.1,512,0.133,11m1s,99.2,97.44
0.1,768,0.144,11m12s,99.22,97.5
