Pruning,Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0.9,32,0.009,2m41s,93.07,93.05
0.9,48,0.01,11m52s,93.66,93.33
0.8,32,0.016,7m21s,97.21,96.25
0.8,48,0.019,5m41s,97.26,96.27
0.8,64,0.02,4m21s,97.25,96.24
0.8,96,0.023,7m5s,97.35,96.28
0.7,32,0.024,14m12s,97.83,96.63
0.7,48,0.027,4m45s,97.72,96.33
0.7,64,0.03,7m53s,97.91,96.66
0.7,96,0.033,8m7s,97.88,96.64
0.7,128,0.036,4m53s,97.88,96.7
0.6,32,0.032,5m1s,97.75,96.15
0.6,48,0.036,8m33s,98.0,96.43
0.6,64,0.039,6m44s,98.02,96.56
0.6,96,0.044,11m43s,98.13,96.74
0.6,128,0.047,8m28s,98.17,96.71
0.6,192,0.052,8m27s,98.19,96.81
0.5,32,0.04,5m18s,97.98,96.16
0.5,48,0.045,5m18s,98.2,96.36
0.5,64,0.048,7m6s,98.29,96.49
0.5,96,0.054,3m33s,98.13,96.47
0.5,128,0.058,7m8s,98.38,96.65
0.5,192,0.064,5m41s,98.39,96.72
0.4,32,0.048,9m14s,97.92,95.98
0.4,48,0.054,7m24s,98.0,95.99
0.4,64,0.058,5m41s,98.11,96.23
0.4,96,0.064,9m42s,98.27,96.52
0.4,128,0.069,5m35s,98.26,96.59
0.4,192,0.076,3m45s,98.34,96.74
0.4,256,0.081,11m39s,98.42,96.79
0.3,32,0.055,6m5s,97.92,96.24
0.3,48,0.062,5m55s,98.11,96.26
0.3,64,0.067,4m0s,98.3,96.28
0.3,96,0.074,6m1s,98.37,96.62
0.3,128,0.08,8m12s,98.46,96.7
0.3,192,0.088,12m42s,98.52,96.88
0.3,256,0.094,4m10s,98.39,96.72
0.2,32,0.063,8m15s,98.18,96.35
0.2,48,0.071,8m15s,98.28,96.44
0.2,64,0.077,10m20s,98.34,96.64
0.2,96,0.085,10m20s,98.44,96.7
0.2,128,0.091,8m17s,98.47,96.89
0.2,192,0.1,8m19s,98.46,96.84
0.2,256,0.106,6m16s,98.47,96.85
0.2,384,0.117,6m21s,98.53,96.95
0.1,32,0.071,8m29s,98.03,96.25
0.1,48,0.08,4m14s,98.06,96.36
0.1,64,0.086,4m14s,98.26,96.39
0.1,96,0.095,8m30s,98.46,96.73
0.1,128,0.102,9m29s,98.53,96.79
0.1,192,0.111,6m34s,98.52,96.9
0.1,256,0.119,6m28s,98.56,96.96
0.1,384,0.13,8m44s,98.62,97.06
