Pruning,Compression Rate,Training Time,Acc Training,Acc Testing
0,0,8m38s,98.77,97.39
0.9,0.1,6m53s,97.02,96.51
0.8,0.2,6m51s,98.61,97.36
0.7,0.3,5m0s,98.86,97.38
0.6,0.4,5m59s,99.02,97.49
0.5,0.5,6m2s,99.1,97.5
0.4,0.6,6m14s,99.14,97.52
0.3,0.7,6m42s,99.16,97.57
0.2,0.8,6m10s,99.16,97.63
0.1,0.9,6m6s,99.16,97.59
