Pruning,Compression Rate,Training Time,Acc Training,Acc Testing
0,0,9m34s,98.88,97.69
0.9,0.1,11m45s,97.9,97.21
0.8,0.2,10m22s,98.9,97.85
0.7,0.3,11m2s,99.16,97.85
0.6,0.4,10m19s,99.16,97.76
0.5,0.5,10m42s,99.25,97.82
0.4,0.6,15m9s,99.31,97.85
0.3,0.7,15m43s,99.31,97.83
0.2,0.8,10m14s,99.26,97.79
0.1,0.9,7m4s,99.18,97.75
