Pruning,Compression Rate,Training Time,Acc Training,Acc Testing
0,0,26m30s,99.13,97.97
0.9,0.1,15m8s,98.59,97.52
0.8,0.2,13m53s,99.09,97.95
0.7,0.3,12m53s,99.22,98.07
0.6,0.4,12m14s,99.22,98.09
0.5,0.5,11m19s,99.25,98.07
0.4,0.6,18m3s,99.35,98.12
0.3,0.7,19m55s,99.33,98.11
0.2,0.8,20m43s,99.34,98.12
0.1,0.9,24m32s,99.35,98.14
