Pruning,Compression Rate,Training Time,Acc Training,Acc Testing
0,0,15m14s,99.02,97.78
0.9,0.1,14m49s,98.43,97.52
0.8,0.2,14m38s,99.02,97.83
0.7,0.3,11m46s,99.16,97.84
0.6,0.4,13m53s,99.23,97.84
0.5,0.5,12m18s,99.24,97.9
0.4,0.6,12m31s,99.26,97.92
0.3,0.7,14m28s,99.29,97.85
0.2,0.8,12m38s,99.24,97.83
0.1,0.9,20m39s,99.33,97.89
