Pruning,Compression Rate,Training Time,Acc Training,Acc Testing
0,0,28m10s,98.99,97.8
0.9,0.1,14m41s,98.67,97.69
0.8,0.2,15m11s,99.17,97.91
0.7,0.3,16m48s,99.28,98.03
0.6,0.4,16m29s,99.31,97.92
0.5,0.5,13m52s,99.28,97.98
0.4,0.6,11m18s,99.27,98.02
0.3,0.7,17m39s,99.35,98.01
0.2,0.8,20m5s,99.36,98.01
0.1,0.9,20m32s,99.36,98.01
