Pruning,Compression Rate,Training Time,Acc Training,Acc Testing
0,0,6m26s,98.29,97.03
0.9,0.1,7m36s,94.36,93.98
0.8,0.2,4m34s,97.47,96.51
0.7,0.3,3m56s,97.99,96.9
0.6,0.4,4m33s,98.28,96.93
0.5,0.5,4m15s,98.42,96.98
0.4,0.6,3m58s,98.47,97.12
0.3,0.7,6m12s,98.63,97.13
0.2,0.8,3m53s,98.52,97.04
0.1,0.9,3m20s,98.5,97.05
